Season,Week,Value,label
Heterogeneity,Var1,1.529380076,A
Nanoparticles,Var2,1.311639244,B
Nanoparticles,Var3,1.581148912,C
Nanoparticles,Var4,1.790574647,D
Nanoparticles,Var5,1.380683878,E
Nanoparticles,Var6,1.081817484,F
Nanoparticles,Var7,0.403290595,G
Nanoparticles,Var8,0.907790763,H
Nanoparticles,Var9,1.056623059,I
Nanoparticles,Var10,4.262142707,J
Heterogeneity,Var11,2.821531814,K
Nanoparticles,Var12,2.839335998,L
Nanoparticles,Var13,0.79269478,M
Nanoparticles,Var14,2.006600269,N
Heterogeneity,Var15,8.730247181,O
Heterogeneity,Var16,1.810646823,P
Heterogeneity,Var17,3.139039625,Q
Heterogeneity,Var18,13.19255484,R
Heterogeneity,Var19,28.17616482,S
Heterogeneity,Var20,9.04080587,T
Heterogeneity,Var21,12.14528661,X
